"ID","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"2908",0,0,0,0,0,0,0,0,0.036,0,0,0.047,0,0,0.198,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.212,0,0,0.078,0.17,0,4.54,0,4.54,0,4.54,0,0,0,0,0.237,0,0,1.351,0.072,0.675,0,0,0.078,0.126,0,3.7,26,37,0
"2129",0,0,0,0,0,0,0,0,2.136,1.05,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,1.294,1.05,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0.563,0.119,0,0,0,0,0.126,0,3.571,11,75,0
"2066",0,0,0,0,0,0.23,0,0,0.036,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0.244,0,0,0,10.211,0,0,0.078,0,0,0,0,0,0,0,0,0,4.975,0,0.237,0,0,0,0,0,0,0,0,0.126,0,1.428,3,10,0
"3810",2.63,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0.75,0,0,0.37,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0.37,0,0.37,0,0,0.034,0.37,0.237,0.75,1.12,0,0.033,0,0,0.063,0,0.126,0,2.023,14,85,0
"1573",0,0,0,0,0.47,0,1.43,0,0.036,0,0.47,0.431,0,0,0,0,0,1.756,1.91,0.47,1.43,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0.47,0.021,0,0.237,0,0,0,0,0,0,0,0.192,0.421,0,3.361,54,158,1
"495",0,0.1,0.62,0,0.31,0,0.1,0,0.036,0.62,0.1,0.418,0.41,0,0.064,0,0.1,0.046,3.43,0.1,1.66,0,0.1,1.04,0.244,0,0,0.2,0,0,0,0.078,0.012,0,0,0,0,0,0,0,0.1,0,0,0.237,0.1,0,0,0.015,0,0,0,0.711,0.39,0.049,3.794,69,702,1
"1191",0,0.56,0.56,0,2.27,0.225,0.56,0,0.036,0,0,0.515,0.56,0,0.127,0,3.4,0,3.97,0,1.7,0.225,0,0,0.244,0,0,0,0,0,0,0.078,0.012,0,0,0,0,0,0,0,0.56,0.052,0,0.237,0,0,0.262,0,0,0,0,1.076,0.475,0,5.105,140,194,1
"523",0,0,0.15,0,0.62,0,0.31,0,0.036,0,0,0,0.46,0,0.225,0,0.15,1.246,2.19,0,1.09,0.108,0.62,0,0.244,0,0,1.09,0,0,0,0.078,0.148,0,0,0,0,0,0,0,0.15,0,0,0.237,0,0,0.252,0.231,0,0,0,0.326,4.143,0,3.278,23,259,1
"3071",0,0,0,0,0.4,0,0,0,0.036,0,0,1.874,0,0,0.088,0,0,0,2.44,0,0.81,0.069,0,0,1.464,3.26,0,0,0.157,0.4,0,0.078,0,0,0,0,0,0,0,0,0,0.207,0,0.637,0,0,0.137,0,0,0,0,0.079,0.126,0,2.282,21,89,0
"4307",0,0,0,0,0,0,0,0,0.036,0,0,0.19,0,0,0.232,0,0,0,7.89,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0.161,0,0.237,2.63,0,0,0.011,0,0,0,0.149,0.126,0,1,1,12,0
"755",0.16,0.67,0.67,0,0.5,0,0.16,0,0.036,0,0,0.451,0.67,0.67,0.638,0,0,0,2.52,0.5,1.51,0.192,0,0.16,0.244,0,0,0,0.06,0,0,0.078,0.231,0,0,0,0,0,0,0,0,0.034,0,0.237,0,0,0,0.189,0,0,0,0.031,0.231,0.052,2,32,260,1
"1216",0,0,0.48,0,1.45,0.208,0,0,0.036,0,0,0.947,0,0,0,0,0.97,0,2.42,0,2.42,0,0.48,0,0.244,0,0,0,0.242,0,0,0.078,0.043,0,0,0,0,0,0,0,0,0,0,0.237,0.48,0,0.084,0,0,0,0,0.57,0.378,0,5.173,80,238,1
"431",0.5,0,0.76,0,0.76,0.205,0.5,0,0.036,1.01,0,0.422,1.52,0,0.812,0,0,1.366,2.03,0,1.52,0,0.76,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0.5,0,0,0,0.237,0,0,0.074,0.231,0,0,0,0.631,0.538,0,2.441,19,249,1
"2210",0,0,0,0,0,0.03,0,0,0.036,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0.1,0,16.66,0,0,0,0,0,0,0.089,0,0.237,0,0,0,0.1,0,0,0,0,0.126,0,1,1,6,0
"3716",0,0,0,0,0,0.587,0,0,0.036,0.23,0,0.197,0,0,0,0,0,0,2.6,0,0,0.111,0,0,5.694,0,0,0,0.111,0,0,0.078,0,0,0.23,0,0.71,0,0,0,0,0.247,0.94,0.237,1.18,0,0.158,0.222,0.119,0,0.119,0,0.126,0,2.565,19,295,0
"1482",0,0,0.35,0,0.17,0.052,0.35,0.71,0.036,0.35,0.17,0.439,0,0,0,0,0.71,0.196,3.76,0,1.97,0,0,0.53,0.244,0,0,0,0,0,0,0.078,0.107,0,0,0,0,0,0,0,0.35,0,0,0.237,0,0,0.029,0,0,0,0,0.153,0.155,0,3.519,97,359,1
"3598",0,0,0,0,0,0.125,0,0,0.036,0,0,0,0,0,0.238,0,0,0,0,0,0,0.06,0,0,0.244,0,0,0,0.231,0,0,0.078,0,0,20,0,0,0,0,0,0,0,0,0.237,0,0,0,0.189,0,0,0,0.235,0.126,0,1,1,5,0
"2567",0,0,0.97,0,0,0.164,0,0,0.036,1.94,0,0.945,0,0,0.101,0,0,0.816,5.82,0,0.97,0.144,0,0,0.244,0,0,0,0.193,0,0,0.078,0,0,0,0,0,0,0,0,0,0.107,0,0.237,0,0,0.293,0.067,0,0,0,0.163,0.126,0,2.187,14,70,0
"4134",0,0,0,0,0,0,0,0,0.036,0,0,0.178,0,0,0.247,0,0,1.096,2.5,0,1.25,0,0,0,0.244,0,0,0,0.111,0,0,0.078,0,0,0,0,0,0,0,0,1.25,0,0,0.237,0,0,0,0.248,0,0,0,0.207,0.126,0,4.176,55,71,0
"4085",0,0,0,0,0,0,0,0,0.036,0,0,0.204,0,0,0,0,0,0,6.66,0,0,0,0,0,0.244,0,0,0,0.113,0,0,0.078,0.174,0,0,0,0,0,0,0,0,0,0,0.237,3.33,3.33,0.537,0.037,0,0,0,1.132,0.126,0,1.2,3,12,0
"3947",1.78,0,0,0,0,0,0,0,0.036,0,0,0.143,0,1.78,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.21,0,0,0.078,0.153,0,0,0,0,0,0,0,0,0,3.57,0.237,0,0,0,0.021,0,0,0,0,0.126,0,1.444,5,13,0
"3636",0,0,0,0,0,0.084,0,0,0.036,0,0,0.084,0,0,0.058,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0.13,0,0.237,0,0,0,0.083,0,0,0,0.077,0.126,0,1,1,3,0
"3065",0,0,0,0,0,0,0,0,0.036,0,0,1.46,0,0,0.205,0,0.7,0,1.4,0,1.4,0,0,0,0.244,0,0,0,0,0,0.7,0.078,0,0,0.7,0,0,0,0,2.11,0,0.196,0,0.237,0,0,0.266,0,0,0,0.066,0,0.126,0,18,200,378,0
"2917",0,0,0,0,0.58,0.113,0,0,0.036,0,0,0.217,0,0,0.147,0,0,0,0.58,0,0,0.029,0,0,0.824,0.58,0,0,0.16,0,0,0.078,0,0,0,1.16,1.74,0,0.58,0,0,0.039,0.58,0.237,0,0,0,1.771,0,0,0.118,0.13,0.126,0,6.428,98,315,0
"3035",0,0,0,0,0,0.061,0,0,0.036,0,0,0.037,0,0,0.249,0,0,0,0,0,0,0.061,0,0,0.244,0,0,0,0.071,0,0,0.078,0,0,4.54,0,4.54,0,4.54,0,0,0,0,0.237,0,0,1.351,0,0.675,0,0,0.155,0.126,0,3.7,26,37,0
"2230",0,0,0,0,0,0.061,0,0.39,0.426,0.39,0,0.116,0,0,0,0,0,0,2.39,0,0,0.136,0,0,5.814,1.59,0.39,0,0.537,1.19,0.39,0.468,0,0.39,1.19,0.39,0.39,0,0.79,0.39,0,0,0.39,0.237,0.39,0,0.104,0.085,0,0,0.052,0.188,0.126,0.052,3.153,57,246,0
"4240",0,0,0,0,0,0.085,0,0,0.036,0,0,0.078,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0.244,0,0,0,0,0,0,0.078,0.124,0,0,0,0,0,0,0,0,0.066,0,0.237,0,0,0.523,0,0,0,0,0.111,0.126,0,1.6,4,16,0
"3871",0,0,0,0,0,0.03,0,0,0.036,0,0,0.192,0,0,0.097,0,0,0,0,0,0,0.199,0,0,0.244,0,0,0,0.247,0,0,0.078,0,0,1.16,0,0,0,0,0,0,0,0,2.557,1.16,0,0.391,0,0,0,0,0.054,0.126,0,1.384,4,18,0
"3125",0,0,0,0,0,0.12,0,0,0.036,0,0,0.231,0,0,0.072,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.029,0,0,0.078,0,0,0,0,0,0,0,0,0,0.066,0,0.237,0,0,0,0,0,0,0,0,0.126,0,2,5,8,0
"1500",0,0,0.47,0,1.43,0,0,0,0.036,0,0,0.896,0,0,0.122,0,0.95,0,3.34,0,1.91,0,0.47,0,0.244,0,0,0,0.016,0,0,0.078,0,0,0,0,0,0,0,0,0.47,0.001,0,0.237,1.43,0,0.076,0.248,0,0,0,0.312,0.432,0,4.653,78,242,1
"914",0,0,1.31,0,0,0,0,0,0.036,0,0,1.527,0,0,0,0,0,0,1.31,0,5.26,0,0,1.31,0.244,0,0,0,0.248,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0.25,0,0,0,0,0.336,0,4.5,25,54,1
"28",0,0,0,0,0,0.064,1.66,0,0.036,0,0,0,0,0,0.159,0,0,0,3.33,0,0,0.185,0,3.33,0.244,0,0,0,0.193,0,0,0.078,0.091,0,0,0,0,0,0,0,0,0.233,0,0.237,0,0,0,0,0,0,0,0.261,0.126,0,2.611,12,47,1
"4545",0,0,0,0,0,0.079,0,0,0.036,0,0,0,0,0,0.249,0,0,0,0.93,0,0,0,0,0,0.244,0,0,0,0.152,0,0,0.078,0,0,0,0,0.93,0,0,0,0.93,0,0,1.167,0.93,0.93,0.163,0,0,0,0,0,0.126,0,1.911,15,65,0
"4106",0,0,0,0,0.79,0.922,0,0,0.036,0,0,0.224,0,0,0,1.58,0,0,3.17,0,0,0.002,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0.148,0,0.237,0.79,0,0,0.244,0,0,0,0.144,0.126,0,1.076,2,28,0
"3115",0,0,0,0,0,0.116,0,0,2.976,0,0,0.064,0,0,0,0,0,0,1.47,0,2.94,0.064,0,0,1.714,0,1.47,0,0,0,0,0.078,1.3,0,1.47,0,0,0,0,0,0,0,0,0.237,0,0,0.484,0,0,0,0,0.564,0.126,0,2.5,15,65,0
"1439",0,0,0.47,0,0.47,0.679,0.47,0,0.036,2.38,0,1.098,0.47,0,0,0,0.47,0,1.9,0,0,0.04,4.76,0,0.244,0,0,0,0.024,0,0,0.078,0,0,0,0,0.47,0,0,0,0,0.004,0,0.237,0,0,0.266,0,0,0,0,0.404,0.925,0.088,36.642,148,513,1
"1190",0,0,0,0,0,0.086,0,0,0.036,0,0,0.122,0,0,0.169,0,0,0,5.55,0,1.11,0,0,0,0.244,0,0,0,0.184,0,0,0.078,0.088,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,1.461,0.126,0,4.071,29,114,1
"1198",0,0,0.67,0,0,0,0,0.67,0.036,0.67,0,0.013,0,0,0,0,0,0,1.35,0,1.35,0.135,0,0,0.244,0,0,0,0.016,0,0,0.078,0,0,0,0,0,0,0,0,0,0.081,0,0.237,0,0,0,0,0,0,0,2.66,0.126,0,3.384,37,132,1
"2995",0,0.39,0,0,0,0.141,0,0,0.036,0,0,1.884,0.79,0,0,0,1.18,0,0.79,0.39,0,0,0,0,0.634,0,0,0.39,0.126,0,0,0.078,0,0,0,1.97,0,0,0,0,0,0.212,0,0.237,0,0,0.192,0,0,0.39,0,0.35,0.126,0,1.229,6,75,0
"2288",0,0,0.12,0,0,0,0,0.12,0.036,0,0,0.496,0,0,0.193,0,0,0,0.49,0,0.24,0.03,0,0,0.854,0.74,0,1.11,0.158,0,0,0.078,0.891,0,0.12,0,0,0,0,0,0,0.016,0,0.237,0,0,0.17,0,0.119,0,0.034,0,0.16,0,3.237,32,505,0
"3400",0,0,0,0,0,0,0,0,0.036,0,0,0.002,0,0,0.168,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,3.33,0,0.628,0.069,0,0,0,0,0.126,0,1.5,5,15,0
"2186",0,0.01,0.13,0,0.13,0,0,0.01,0.036,0.13,0.03,0.482,0.03,0.07,0.18,0,0.53,0,0.07,0,0.03,0.206,0.01,0,0.244,0,0,0.01,0.019,0,0,0.078,1.743,0,0,0.11,0.86,0,0,0.03,0.11,0,0.03,0.247,0.01,0.23,0.111,0.195,0.008,0,0,0.234,0.126,0.01,2.106,58,3027,0
"4238",0,0,0,0,0,0,0,0,0.036,0,0,0.246,0,0,0.029,0,0,0,1.69,0,0,0,0,1.69,0.244,0,0,0,0.097,0,0,0.078,0,0,0,0,0,0,0,0,0,1.892,0,0.237,1.69,0,0,0,0,0,0,0,0.126,0,1.071,2,15,0
"3796",0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0.239,0,0,0,6,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,6.241,0,0,0,0,0,0,0,0,0.086,0,0.237,0,0,0,0.241,0,0,0,0,0.126,0,1.333,4,12,0
"9",0,0,0.46,0,0.61,0.069,0.3,0.15,0.036,0.76,0.76,0.787,0,0,0.2,0,0,0,1.23,3.53,2,0.176,0,0.15,0.244,0,0,0.92,0,0,0,0.078,0.077,0,0,0,0,0,0,0,0,0,0.3,0.237,0,0,0.271,0.233,0,0,0,0,0.329,0.022,9.744,445,1257,1
"31",0,0,0,0,0,0.202,0,1.17,0.036,0,0,1.073,0,0,0.062,0,1.17,0,3.52,0,0,0,0,0,0.244,0,0,0,0.238,0,0,0.078,0.168,0,0,0,0,0,0,0,0,0.185,0,0.237,1.17,0,0,0,0,0,0,0.901,0.126,0,1.966,10,59,1
"1379",0,0,0.38,0,0.38,0.144,0.38,0,0.036,1.94,0,1.087,0,0,0,0,0.77,0.616,2.72,0,1.16,0.128,0,0,0.244,0,0,0.38,0.186,0,0,0.078,0,0,0,0,0,0,0,0.38,0.38,0.059,0,0.237,0,0,0,0,0,0,0,0.116,0.183,0,7.121,70,235,1
"148",0,0.29,0.72,0,0.29,0,0.14,0,0.036,0.43,0.29,0,0.14,0,0,0,0,0.566,0.58,0.14,0.43,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0.14,0.14,0,0,0.237,0.14,0,0,0.075,0,0,0,1.097,0.149,0.046,5.133,132,1001,1
"3938",0,0,0.86,0,0,0.116,0,0,0.036,0,0,0.827,0,0,0,0,0,0,2.6,0,0.86,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0.118,0.86,0.237,0,0,0,0.018,0,0,0,0,0.126,0,1.5,4,24,0
"2874",0,0,0.06,0,0,0,0,0.06,0.036,0,0,0.251,0,0.12,0,0,0,0,0.24,0,0.18,0,0,0,1.384,1.2,0,0.54,0,0,0,0.078,0.391,0,0.06,0,0.9,0,0,0,0,0.074,0,0.237,0.12,0,0.221,0.087,0.115,0,0.115,0,0.143,0,3.015,38,1345,0
"3130",0,14.28,0,0,0,0,0,0,0.036,0,0,0,0,0,0.242,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.032,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0.183,0.126,0,1.8,5,9,0
"3953",0,0,0,0,0,0.172,0,0,0.036,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.186,0,0,0.078,0,0,1.05,0,0,0,0,0,0,0.151,0,0.237,0,0,0,0.229,0,0,0.335,0.036,0.126,0,4.133,26,124,0
"1639",0.98,0.19,0.19,0,1.08,0.206,0.19,0.19,0.036,0.59,0.09,0.999,0.19,0.89,0,0,0,1.026,3.85,0.59,1.78,0,0.09,0.29,0.244,0,0.09,0.89,0,0,0,0.078,0.132,0,0,0,0,0,0.09,0.09,0,0.029,0,0.237,0,0,0,0.144,0,0,0.19,0.445,0.348,0.015,4.195,49,814,1
"1247",0.26,0,0.79,0,0.26,0.099,0.26,0,0.036,0,0,1.363,0,0,0,0,0,0.106,1.58,0,0.52,0.243,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0.52,0.26,0,0,0.26,0,0.129,0,0.237,0,0,0.038,0.382,0.038,0,0,0,0.126,0,1.8,29,171,1
"1603",0.83,0.27,0.83,0,0.13,0.158,0,0.13,0.036,0.13,0,0.509,0.27,0.13,0.168,0,0.13,0.116,4.31,0.13,2.08,0,0.13,0.27,0.244,0,0,0.41,0.123,0,0,0.078,0,0,0,0,0,0,0,0,0.13,0.147,0,0.237,0.41,0,0.025,0.233,0,0,0,0.223,0.176,0,2.329,15,219,1
"1525",0,0.9,0,0,0,0.094,0,0,0.036,0,0,0.227,0,0,0.182,0,0,1.656,3.63,0,2.72,0,0,0,0.244,0,0,0,0.094,0,0,0.078,0.247,0,0,0,0,0,0,0,0.9,0.146,0,0.237,0.9,0,0,0,0,0,0,0.154,0.296,0,6.266,41,94,1
"3266",0.49,0,0,0,0.49,0.515,0,0.49,0.036,0,0,0.555,0.99,0,0.237,0,0,0,0.49,0,0,0,0,0,2.724,0.99,0,0,1.041,0.99,0,0.078,0,0,0,0.49,0.49,0,0,0,0,0.239,0,0.237,0,0,0.145,0.323,0,0,0,0.222,0.126,0,1.641,10,87,0
"328",0,1,1,0,2,0.148,1,0,0.036,0,0,0,0,0,0,0,2,2.846,2,0,4,0.141,1,1,0.244,0,0,0,0,0,0,0.078,0.207,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0.248,0,0,0,0.426,0.263,0,2.538,11,33,1
"4220",0,0,0.9,0,0,0,0,0,0.036,0.45,0,0,0,0,0.222,0,0,0.296,0,0,0.9,0,0,0,0.244,0,0,0,0,0,0,0.078,0.226,0,0,0,0.45,0,0,0,0.45,0,0,0.237,0.45,0.45,0.227,0.076,0.056,0,0,0.135,0.126,0.056,5.8,70,290,0
"977",1.14,0.16,0,0,0.16,0.309,0,0,0.036,0.32,0.32,0.719,0,0,0.076,0,0,0.166,0.81,0.48,1.46,3.094,0.16,0.81,0.244,0,0,1.3,0.157,0,0,0.078,0.193,0,0,0,0,0,0,0,1.95,0.113,0,0.237,0,0,0.35,0.073,0.673,0,0.053,0,0.233,0.026,5.216,57,1038,1
"3290",0,0.4,0,0,0,0.067,0,0.13,0.036,0.53,0,0.019,0,0,0.145,0,0.13,0,0.8,0,0.53,0.148,0,0,0.244,0,0,0,0,0,0,0.078,0.157,0.13,0,0,1.2,0,0,0,0,0.193,0,0.237,0,0.53,0.25,0.261,0,0,0,0,0.553,0.044,5.473,143,1538,0
"1681",0,0,0.68,0,0,0.071,0,0,0.036,0,0,0.174,0,0,0,0,0,0,0,0,0,0.093,0,0,0.924,1.36,0,0,0.193,0,0,0.078,0,0,0,0,0,0,0,0,0.68,0,0,0.237,0,0,0,0.181,0,0,0,0.306,0.126,0,1.6,4,32,1
"2121",0,0,0,0,0,0,0,0,0.956,0.46,0,1.854,0,0,0,0,0,0.306,1.38,0,0.46,0,0,0,2.084,1.38,0.92,0,0.372,0.46,0.92,1.458,0,1.38,0.92,0.46,0,0,0,0.92,0,1.47,0,0.237,0.46,0,0.362,0.949,0,0,0,0,0.126,0,4.153,34,162,0
"4598",0,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0.094,0,0,0,6,0,2,0.014,0,0,0.244,0,0,0,0.013,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,0,2,0,0,0,0,0,0.361,0.126,0,1.555,4,14,0
"4002",0,0,0,0,0,0,0,0,0.036,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,20,0,0,0,0,0,0,0.143,0,0.237,0,0,0,0,0,0,0,0,0.126,0,1,1,5,0
"3824",0,0,0.1,0,0.2,0.301,0,0,0.036,0,0,1.859,0.2,0.1,0.006,0,0.81,0,0,0,0,0.17,0.2,0,2.994,0,0,0,0.114,0,0,0.078,0.024,0,0,0.3,0.3,0,0,0,0,0,0,0.237,0,0,0.091,0.069,0.03,0,0,0,0.126,0,2.161,27,575,0
"2443",0,0,0,0,0,0,0,0,1.726,0,0,0.007,0,0,0.016,0,0,0.686,0,0,2.54,0,0,0,1.934,0.84,0.84,0,0,0.84,0,0.078,0.133,0,1.69,0,0,0,0,0,0,0.154,0,0.237,0.84,0,0,0.008,0,0,0,0.248,0.126,0,1.777,11,64,0
"4355",0,0,0,0,0,0.235,0,0,0.036,0,0,0.03,0,0,0,0,0,0,0,0,0,0.137,0,0,0.244,0,0,0,0,0,0,0.078,0.027,0,0,0,0,0,0,0,0,0.184,0,0.237,0,6.66,0.675,0.047,0,0,0,0.076,0.126,0,1,1,4,0
"748",0,0,0,0,0,0,0,0,0.036,0,0,6.469,0,0,0,0,0,0,12.5,0,0,0,0,0,0.244,0,0,0,0.228,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0.249,0,0,0,0.036,0.126,0,1,1,2,1
"1674",1.11,0.1,0.55,0,0.02,0.176,0.02,0.13,0.036,0.29,0.05,0.306,0.42,0.07,0.639,0,0.45,0.506,3.95,0.05,1.59,0,0.39,0.34,0.244,0,0,0.23,0.172,0,0,0.078,0.147,0,0,0,0,0,0,0.31,0.87,0.026,0,0.287,0.23,0.02,0.083,0.188,0.03,0,0,0.302,0.271,0.07,5.108,116,3525,1
"1140",0.26,0.31,0.46,0,0.05,0.345,0.05,0.46,0.036,0.75,0.26,1.007,0.57,1.22,0.166,0,0.44,0,3.21,0,1.48,0.135,1.01,0.33,0.244,0,0,0.44,0.018,0,0,0.078,0,0,0,0,0,0,0,0,0.1,0.235,0,0.237,0.02,0,0.068,0.193,0,0,0,0.514,0.919,0.159,6.05,199,3213,1
"4304",0,0,0,0,0,0,0,0,0.036,2.77,0,0.009,0,0,0,0,0,0,2.77,0,5.55,0.205,0,0,0.244,0,0,0,0.085,0,0,0.078,0.244,0,0,0,0,0,0,0,0,0,0,0.237,2.77,0,0,0.033,0,0,0,0.309,0.126,0,1.214,3,17,0
"2513",0,0,0,0,0.25,0.353,0,0.25,0.036,0,0,0.605,0,0.25,0,0.25,0,0.096,0.51,0,0.25,0,0,0,0.244,0.25,0,0,0.021,0,0,0.078,0.413,0,0,0,0,0,0,0,0,0,0,0.237,0,0.25,0.082,0.234,0,0,0,0,0.126,0.041,1.287,4,85,0
"57",0,0,0,0,0,0,1.04,0,0.036,0,0,0.964,0,0,0.182,0,1.04,0,3.66,0,2.09,0.066,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0.246,0.041,0.061,0,0,0.605,0.187,0.061,3.318,59,146,1
"4021",0,0,0,0,0,0,0,0,4.376,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,8.934,4.34,4.34,0,4.195,4.34,4.34,4.418,0.088,4.34,4.34,4.34,0,0,0,4.34,0,0,0,0.237,0,0,1.19,0.031,0,0,0,0,0.126,0,3.333,11,30,0
"283",0,0.38,0.76,0,0.38,0.086,0.19,0,0.036,0.57,0.19,0,0.19,0,0.278,0,0,0.796,0.19,0.19,0.95,0.138,0,0,0.244,0,0,0,0.076,0,0,0.078,0.234,0,0,0,0,0,0,0.19,0.19,0,0,0.237,0,0,0,0,0,0,0,0.477,0.156,0.09,6.789,132,869,1
